City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
116,kahului,75,US,1573517449,78,20.89,-156.47,87.8,6.93
117,nouadhibou,58,MR,1573517467,72,20.93,-17.03,68.0,26.4
118,sabha,98,LY,1573517467,37,27.03,14.43,59.81,20.78
119,wajima,20,JP,1573517467,81,37.4,136.9,53.6,3.36
120,butaritari,100,KI,1573517467,78,3.07,172.79,79.59,9.37
121,grand junction,1,US,1573517467,17,39.06,-108.55,54.0,11.41
122,shaunavon,16,CA,1573517467,83,49.65,-108.41,8.76,13.51
123,qaanaaq,0,GL,1573517467,55,77.48,-69.36,5.81,4.16
124,hasaki,20,JP,1573517467,67,35.73,140.83,63.0,5.82
125,yar-sale,100,RU,1573517467,96,66.83,70.83,5.7,6.67
126,prince rupert,90,CA,1573517467,81,54.32,-130.32,50.0,20.8
127,marienburg,40,DE,1573517468,75,52.12,9.98,42.01,10.29
128,sokoni,81,CD,1573517468,85,-12.89,28.78,65.73,5.01
129,bethel,90,US,1573517265,86,60.79,-161.76,39.2,5.82
130,yulara,9,AU,1573517468,25,-25.24,130.99,77.0,16.11
131,saint-philippe,90,CA,1573517468,85,45.36,-73.48,21.99,10.29
132,chuy,61,UY,1573517468,78,-33.69,-53.46,61.5,10.92
133,airai,0,TL,1573517468,19,-8.93,125.41,84.22,5.23
134,cassilandia,83,BR,1573517468,79,-19.11,-51.73,72.16,0.54
135,aklavik,90,CA,1573517468,79,68.22,-135.01,21.2,12.75
136,bluff,20,AU,1573517468,37,-23.58,149.07,82.8,7.61
137,cidreira,90,BR,1573517468,84,-30.17,-50.22,68.83,27.83
138,ishigaki,40,JP,1573517468,60,24.34,124.16,73.4,12.75
139,atar,0,MR,1573517468,23,20.52,-13.05,69.03,8.23
140,caravelas,7,BR,1573517468,90,-17.73,-39.27,72.7,8.12
141,pakokku,18,MM,1573517468,93,21.33,95.09,73.0,2.37
142,ancud,0,CL,1573517468,72,-41.87,-73.83,60.8,6.93
143,bafra,40,TR,1573517468,93,41.57,35.91,46.4,2.24
144,port lincoln,98,AU,1573517469,56,-34.72,135.86,55.4,15.95
145,nikolskoye,75,RU,1573517469,93,59.7,30.79,37.4,13.42
146,sangar,93,RU,1573517469,92,63.92,127.47,-18.12,7.52
147,norman wells,75,CA,1573517469,78,65.28,-126.83,17.6,13.87
148,bagdarin,50,RU,1573517469,79,54.44,113.59,-11.71,5.48
149,dagda,53,LV,1573517469,95,56.09,27.54,35.73,4.32
150,saint-georges,100,CA,1573517211,79,46.12,-70.67,19.0,1.01
151,la rioja,100,AR,1573517469,61,-29.41,-66.86,71.58,7.45
152,ucluelet,90,CA,1573517302,93,48.94,-125.55,52.0,6.93
153,dauphin,1,CA,1573517469,65,51.15,-100.04,5.0,9.17
154,beidao,72,CN,1573517469,79,34.57,105.89,46.62,0.78
155,provideniya,90,RU,1573517469,86,64.42,-173.23,37.4,17.9
156,tautira,40,PF,1573517469,66,-17.73,-149.15,84.2,9.17
157,yellowknife,75,CA,1573517255,77,62.45,-114.38,5.0,6.93
158,san patricio,21,PY,1573517470,74,-26.98,-56.83,73.2,5.79
159,huoqiu,100,CN,1573517470,38,32.34,116.27,64.36,9.71
160,candolim,0,IN,1573517227,88,15.52,73.76,77.0,3.36
161,furano,75,JP,1573517470,100,43.28,142.47,41.0,4.7
162,quatre cocos,40,MU,1573517470,94,-20.21,57.76,75.2,3.36
163,lompoc,40,US,1573517359,82,34.64,-120.46,72.0,5.82
164,macon,1,US,1573517470,67,32.84,-83.63,64.4,5.82
165,hearst,100,CA,1573517470,94,49.69,-83.67,3.81,3.65
166,berlevag,5,NO,1573517470,85,70.86,29.09,19.4,14.99
167,nieves,100,MX,1573517470,30,24.0,-103.02,72.19,5.79
168,pismo beach,40,US,1573517470,82,35.14,-120.64,69.01,5.82
169,roald,17,NO,1573517470,63,62.58,6.12,28.4,16.11
170,pacific grove,1,US,1573517280,67,36.62,-121.92,82.4,10.29
171,hovd,0,NO,1573517471,68,63.83,10.7,28.99,10.29
